COUNTRY,population_growth_rate_raw,infant_mortality_raw,g_norm,m_norm,DPI_R
ALBANIA,0.19,10.54,0.0815450643776824,0.32732919254658377,8.619286626756734
ANDORRA,0.11,3.39,0.047210300429184546,0.10527950310559006,1.617187079114922
ARCTIC OCEAN,0.0,0.0,0.0,0.0,0.0
ATLANTIC OCEAN,0.0,0.0,0.0,0.0,0.0
AUSTRALIA,1.19,2.96,0.5107296137339056,0.0919254658385093,16.814800513931246
AUSTRIA,0.31,3.2,0.13304721030042918,0.09937888198757763,3.036289699268567
BELARUS,0.32,3.23,0.13733905579399142,0.10031055900621116,3.151681930897455
BELGIUM,0.55,3.15,0.23605150214592277,0.09782608695652173,5.789285539792763
BOSNIA AND HERZEGOVINA,0.23,5.1,0.09871244635193133,0.15838509316770183,3.6226478000029676
BULGARIA,0.66,7.82,0.2832618025751073,0.24285714285714285,11.343006070891791
BURMA,0.75,32.2,0.3218884120171674,1.0,55.55626496431481
CABO VERDE,1.19,22.96,0.5107296137339056,0.7130434782608696,45.19291868972457
CANADA,0.73,4.31,0.3133047210300429,0.13385093167701861,9.248409659028741
CROATIA,0.47,8.58,0.2017167381974249,0.26645962732919254,9.43404200572775
CZECHIA,0.0,2.37,0.0,0.07360248447204969,0.6922141498934448
DENMARK,0.44,3.0,0.18884120171673818,0.09316770186335403,4.311122337093411
ESTONIA,0.74,3.38,0.31759656652360513,0.10496894409937887,8.73640109486214
EUROPEAN UNION,0.1,3.47,0.04291845493562232,0.1077639751552795,1.6122935996801777
FINLAND,0.22,2.11,0.09442060085836909,0.065527950310559,1.6677871735168441
FRANCE,0.12,2.4,0.05150214592274678,0.07453416149068322,1.1356341560110081
GAZA STRIP,1.99,14.87,0.8540772532188841,0.46180124223602476,51.97903952184899
GERMANY,0.12,3.14,0.05150214592274678,0.09751552795031056,1.526935021554931
GIBRALTAR,0.19,6.13,0.0815450643776824,0.1903726708074534,4.137288968687359
GREECE,0.35,3.49,0.1502145922746781,0.10838509316770185,3.616045837639089
GREENLAND,0.04,8.6,0.017167381974248927,0.26708074534161486,5.556291963642624
GUERNSEY,0.22,3.3,0.09442060085836909,0.10248447204968943,2.3035263022846397
HEARD ISLAND AND MCDONALD ISLANDS,0.0,0.0,0.0,0.0,0.0
HONG KONG,0.15,2.52,0.06437768240343347,0.07826086956521738,1.372727654606623
HUNGARY,0.31,4.55,0.13304721030042918,0.14130434782608695,3.938380874587625
ICELAND,0.89,1.63,0.38197424892703863,0.050621118012422354,10.222335549297307
INDIAN OCEAN,0.0,0.0,0.0,0.0,0.0
IRELAND,0.91,3.41,0.3905579399141631,0.10590062111801242,11.650453891742966
ISLE OF MAN,0.48,4.16,0.20600858369098712,0.12919254658385093,5.561827411414203
ITALY,0.11,3.11,0.047210300429184546,0.09658385093167701,1.4549501490372148
JAPAN,0.41,1.88,0.17596566523605148,0.05838509316770185,3.372475193354811
JERSEY,0.61,3.81,0.2618025751072961,0.11832298136645962,7.061244093838372
"KOREA, NORTH",0.44,22.0,0.18884120171673818,0.6832298136645962,28.879609550214937
"KOREA, SOUTH",0.23,2.83,0.09871244635193133,0.08788819875776396,2.113302901632305
KOSOVO,0.54,24.9,0.23175965665236054,0.7732919254658384,35.953751913902174
LATVIA,1.13,4.78,0.4849785407725321,0.1484472049689441,16.984110053600794
LIECHTENSTEIN,0.7,3.98,0.3004291845493562,0.12360248447204968,8.528418692040045
LITHUANIA,1.04,3.61,0.44635193133047213,0.112111801242236,14.236955329560667
LUXEMBOURG,1.58,3.21,0.6781115879828327,0.0996894409937888,25.97172983269261
MALTA,0.59,4.45,0.25321888412017163,0.13819875776397514,7.244850016004575
MEXICO,0.61,12.0,0.2618025751072961,0.37267080745341613,15.523015556580063
MOLDOVA,1.14,11.38,0.48927038626609437,0.35341614906832297,24.587845053022175
MONACO,0.66,1.75,0.2832618025751073,0.05434782608695652,6.5602065796185896
